Model,Optimal_Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.1952435295154797,0.2,0.1919191919191919,1.0,0.3220338983050847,0.4665367121507473
Decision Tree,1.0,0.87,0.6,0.9473684210526315,0.7346938775510204,0.896361273554256
Random Forest,0.62,0.97,0.9444444444444444,0.8947368421052632,0.918918918918919,0.9616634178037687
XGBoost,0.48984596133232117,0.94,0.782608695652174,0.9473684210526315,0.8571428571428571,0.9584145549057829
Support Vector Machine,0.002499357490221085,0.59,0.2962962962962963,0.8421052631578947,0.4383561643835616,0.7153996101364523
